item,quantity,unit,material_or_spec,notes
1/4 inch untreated cedar sheet,6,sheet,12 x 24 inch or equivalent,Preferred wildlife-first stock; buy extra for test cuts
Waterproof exterior PVA glue,1,bottle,Titebond III or equivalent,Thin film between laminated plies only
#6 stainless or galvanized screws,20,each,1 inch,Box assembly; verify no interior protrusion
#6 stainless or galvanized screws,8,each,1-1/4 inch,Roof/back mounting as needed
Small exterior hinges,2,each,brass or stainless,Cleanout side
Hook-and-eye or rotating latch,1,each,exterior-rated,Cleanout closure
Smooth mounting pole or bracket,1,each,metal pole preferred,Pair with predator baffle
Predator baffle,1,each,stovepipe or cone style,Install below box on pole
Clean untreated wood shavings,1,handful,pine or similar,About 1 inch on floor if appropriate locally
Sandpaper,1,set,80 to 150 grit,Remove loose char and splinters
